Date,Event
2016-09-12,Hari Raya Haji
2016-10-29,Diwali/Deepavali
2016-12-26,'Christmas Day' day off
2017-01-01,New Year’s Day
2017-01-02,'New Year’s Day' observed
2017-01-28,Chinese New Year's Day
2017-01-29,Second Day of Chinese New Year
2017-01-30,Chinese New Year Holiday
2017-04-14,Good Friday
2017-05-01,Labour Day
2017-05-10,Vesak Day
2017-06-25,Hari Raya Puasa
2017-06-26,'Hari Raya Puasa' observed
2017-08-09,National Day
2017-09-01,Hari Raya Haji
2017-10-18,Diwali/Deepavali
2017-12-25,Christmas Day
2018-01-01,New Year’s Day
2018-02-16,Chinese New Year's Day
2018-02-17,Second Day of Chinese New Year
2018-03-30,Good Friday
2018-05-01,Labour Day
2018-05-29,Vesak Day
2018-06-15,Hari Raya Puasa
2018-08-09,National Day
2018-08-22,Hari Raya Haji
2018-11-06,Diwali/Deepavali
2018-12-25,Christmas Day
2019-01-01,New Year’s Day
2019-02-05,Chinese New Year's Day
2019-02-06,Second Day of Chinese New Year
2019-04-19,Good Friday
2019-05-01,Labour Day
2019-05-20,'Vesak Day' day off
2019-06-05,Hari Raya Puasa
2019-08-09,National Day
2019-08-11,Hari Raya Haji
2019-08-12,'Hari Raya Haji' observed
2019-10-28,'Diwali/Deepavali' day off
2019-12-25,Christmas Day
